Disciplina,Media_Dificuldade,Media_Trabalhosa,Media_Geral,Ranking
FUNDAMENTOS DE SISTEMAS DINÂMICOS E CONTROLE,9,9,9,1
ESTRUTURAS DE DADOS,"7,827586207","9,517241379","8,672413793",2
MODELAGEM E SIMULAÇÃO MULTIFÍSICA,"7,666666667","8,333333333",8,3
ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES,"7,545454545","6,8","7,172727273",6
CÁLCULO DIFERENCIAL E INTEGRAL III,"7,3125","5,823529412","6,568014706",7
EQUAÇÕES DIFERENCIAIS A,7,"5,933333333","6,466666667",8
GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR,"6,891891892","5,459459459","6,175675676",13
FUNDAMENTOS DE ELETROMAGNETISMO,"6,681818182","5,136363636","5,909090909",16
INTRODUÇÃO À CIÊNCIA DOS MATERIAIS,"6,666666667",6,"6,333333334",10
CÁLCULO DIFERENCIAL E INTEGRAL II,"6,535714286",5,"5,767857143",21
EQUAÇÕES DIFERENCIAIS C,"6,5","5,2","5,85",18
EQUAÇÕES DIFERENCIAIS B,"6,428571429","5,857142857","6,142857143",14
DISPOSITIVOS E CIRCUITOS ELETRÔNICOS BÁSICOS,"6,4","6,2","6,3",12
"FUNDAMENTOS DE OSCILAÇÕES, ONDAS E ÓPTICA","6,4","5,2","5,8",19
SISTEMAS DIGITAIS,"6,333333333","5,466666667","5,9",17
ANÁLISE DE CIRCUITOS ELÉTRICOS II,"6,285714286","4,916666667","5,601190477",23
FUNDAMENTOS DE MECÂNICA DOS FLUIDOS E TERMODINÂMICA,"6,153846154","5,230769231","5,692307693",22
CÁLCULO DIFERENCIAL E INTEGRAL I,6,5,"5,5",26
FUNDAMENTOS DE MECÂNICA,"5,884615385","4,962962963","5,423789174",27
MATEMÁTICA DISCRETA PARA ENGENHARIA,"5,25","4,909090909","5,079545455",29
PESQUISA OPERACIONAL,"5,2","6,4","5,8",20
LABORATÓRIO DE SISTEMAS DIGITAIS,"5,181818182","7,681818182","6,431818182",9
PROGRAMAÇÃO E DESENVOLVIMENTO DE SOFTWARE II,"5,166666667","5,838709677","5,502688172",25
ANÁLISE DE CIRCUITOS ELÉTRICOS I,"4,769230769","4,538461538","4,653846154",35
CONFIABILIDADE DE SISTEMAS,"4,75",4,"4,375",39
TRABALHO DE CONCLUSÃO DE CURSO I,"4,666666667",10,"7,333333334",4
TRABALHO DE CONCLUSÃO DE CURSO II,"4,666666667",10,"7,333333334",5
LABORATÓRIO DE CIRCUITOS ELÉTRICOS I,"4,6","5,4",5,32
PROGRAMAÇÃO E DESENVOLVIMENTO DE SOFTWARE I,"4,567567568","5,567567568","5,067567568",31
OTIMIZAÇÃO NÃO LINEAR,"4,428571429","4,857142857","4,642857143",36
LABORATÓRIO DE SISTEMAS III,"4,333333333","8,333333333","6,333333333",11
"ANÁLISE, PROJ. E PROGR. ORIENTADOS A OBJETOS","4,285714286","5,857142857","5,071428572",30
FUNDAMENTOS DE ESTATÍSTICA E CIÊNCIA DE DADOS,"4,272727273","3,727272727",4,42
INTRODUÇÃO A BANCO DE DADOS,"4,25","5,375","4,8125",34
QUÍMICA GERAL,"4,210526316","4,578947368","4,394736842",38
TEORIA DA DECISÃO,4,"6,25","5,125",28
APRENDIZADO DE MÁQUINA,4,6,5,33
LAB. DE CIRCUITOS ELETRÔNICOS E PROJETOS,"3,75","7,333333333","5,541666667",24
SISTEMAS A EVENTOS DISCRETOS,"3,666666667","4,333333333",4,43
FUNDAMENTOS DE INTELIGÊNCIA ARTIFICIAL,"3,333333333",5,"4,166666667",41
LABORATÓRIO DE SISTEMAS I,"3,166666667","5,166666667","4,166666667",40
INTRODUÇÃO A SISTEMAS COMPUTACIONAIS,3,9,6,15
LABORATÓRIO DE SISTEMAS II,"2,75","6,5","4,625",37
PROCESSOS E MÉTODOS EM ENGENHARIA DE SISTEMAS,"2,555555556","3,555555556","3,055555556",47
CIÊNCIAS DO AMBIENTE,"2,2","4,8","3,5",44
ESTÁGIO SUPERVISIONADO EM ENGENHARIA,"2,2","4,2","3,2",46
LABORATÓRIO DE GERENCIAMENTO DE SISTEMAS,"1,666666667",5,"3,333333334",45
INTRODUÇÃO A ENGENHARIA DE SISTEMAS,"1,447368421","3,210526316","2,328947369",48
